Year,POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
2021,57,Pat Cummins,7,5,2,93,66*,31,56,166.07,0,1,5,8
2021,58,Riyan Parag,11,10,2,93,25,11.62,83,112.04,0,0,6,4
2021,59,Marcus Stoinis,10,7,3,89,27*,22.25,72,123.61,0,0,11,1
2021,60,Jason Holder,8,7,1,85,47*,14.16,72,118.05,0,0,2,6
2021,61,Nicholas Pooran,12,11,0,85,32,7.72,76,111.84,0,0,3,5
2021,62,Rashid Khan,14,10,2,83,22,10.37,69,120.28,0,0,9,2
2021,63,Priyam Garg,5,5,0,72,29,14.4,74,97.29,0,0,2,3
2021,64,Rajat Patidar,4,4,0,71,31,17.75,62,114.51,0,0,3,3
2021,65,Lalit Yadav,7,5,3,68,22*,34,73,93.15,0,0,7,0
2021,66,Chris Morris,11,7,2,67,36*,13.4,49,136.73,0,0,2,5
2021,67,Kyle Jamieson,9,7,3,65,16*,16.25,55,118.18,0,0,5,3
2021,68,Harpreet Brar,7,5,5,64,25*,0,58,110.34,0,0,3,2
2021,69,Sunil Narine,14,10,2,62,26,7.75,47,131.91,0,0,3,5
2021,70,Shahbaz Ahmed,11,7,0,59,14,8.42,53,111.32,0,0,4,2
2021,71,Harshal Patel,15,8,4,59,31,14.75,46,128.26,0,0,6,2
2021,72,Vijay Shankar,7,5,0,58,28,11.6,52,111.53,0,0,1,3
2021,73,Sam Curran,9,4,1,56,34,18.66,29,193.1,0,0,5,3
2021,74,Kedar Jadhav,6,5,1,55,19,13.75,52,105.76,0,0,2,2
2021,75,Chris Lynn,1,1,0,49,49,49,35,140,0,0,4,3
2021,76,Shakib Al Hasan,8,6,1,47,26,9.4,48,97.91,0,0,3,1
2021,77,Dwayne Bravo,11,3,2,47,23,47,18,261.11,0,0,3,4
2021,78,Ravichandran Ashwin,13,5,2,44,20*,14.66,42,104.76,0,0,2,1
2021,79,Manan Vohra,4,4,0,42,14,10.5,39,107.69,0,0,5,2
2021,80,Liam Livingstone,5,5,0,42,25,8.4,41,102.43,0,0,3,1
2021,81,Jaydev Unadkat,6,3,1,41,24,20.5,29,141.37,0,0,3,2
2021,82,Axar Patel,12,6,1,40,12,8,46,86.95,0,0,2,1
2021,83,Mohammad Nabi,3,3,0,34,17,11.33,20,170,0,0,3,2
2021,84,Jayant Yadav,5,3,1,34,23,17,26,130.76,0,0,2,1
2021,85,Bhuvneshwar Kumar,11,7,6,34,14*,34,30,113.33,0,0,3,0
2021,86,Chris Jordan,4,2,0,32,30,16,21,152.38,0,0,1,3
2021,87,Moises Henriques,5,4,2,31,14,15.5,32,96.87,0,0,0,1
2021,88,Washington Sundar,6,4,0,31,10,7.75,47,65.95,0,0,2,0
2021,89,Dawid Malan,1,1,0,26,26,26,26,100,0,0,1,1
2021,90,Glenn Phillips,3,3,1,26,14*,13,33,78.78,0,0,1,2
2021,91,Ripal Patel,2,2,1,25,18,25,27,92.59,0,0,3,0
2021,92,Shivam Mavi,9,2,0,25,20,12.5,20,125,0,0,2,2
2021,93,Tom Curran,3,2,1,21,21,21,17,123.52,0,0,2,0
2021,94,Mohammed Siraj,15,4,3,20,12*,20,26,76.92,0,0,1,1
2021,95,Prabhsimran Singh,2,2,0,19,12,9.5,23,82.6,0,0,1,1
2021,96,Nathan Ellis,3,2,1,18,12,18,16,112.5,0,0,0,1
2021,97,Lockie Ferguson,8,3,3,18,18*,0,11,163.63,0,0,1,1
2021,98,Anmolpreet Singh,1,1,0,16,16,16,14,114.28,0,0,2,1
2021,99,Adam Milne,4,3,1,16,15,8,17,94.11,0,0,0,1
2021,100,Chetan Sakariya,14,6,1,16,7,3.2,25,64,0,0,2,0
2021,101,Jasprit Bumrah,14,7,5,16,5*,8,17,94.11,0,0,2,0
2021,102,Mandeep Singh,1,1,0,15,15,15,14,107.14,0,0,2,0
2021,103,Chris Woakes,3,1,1,15,15*,0,11,136.36,0,0,2,0
2021,104,Jhye Richardson,3,2,0,15,15,7.5,24,62.5,0,0,2,0
2021,105,Murugan Ashwin,3,2,0,15,9,7.5,24,62.5,0,0,1,0
2021,106,Virat Singh,3,2,0,15,11,7.5,26,57.69,0,0,1,0
2021,107,Jagadeesha Suchith,2,1,1,14,14*,0,6,233.33,0,0,2,1
2021,108,Dan Christian,9,7,1,14,9,2.33,24,58.33,0,0,1,0
2021,109,Rahul Chahar,11,5,0,14,8,2.8,15,93.33,0,0,1,0
2021,110,Mohammad Shami,14,4,3,13,9*,13,17,76.47,0,0,0,0
2021,111,Kagiso Rabada,15,3,2,13,9*,13,6,216.66,0,0,2,0
2021,112,Yuzvendra Chahal,15,2,2,10,8*,0,27,37.03,0,0,0,0
2021,113,Ajinkya Rahane,2,1,0,8,8,8,8,100,0,0,1,0
2021,114,Sandeep Sharma,7,2,1,8,8*,8,7,114.28,0,0,1,0
2021,115,Siddarth Kaul,8,2,2,8,7*,0,8,100,0,0,1,0
2021,116,Mustafizur Rahman,14,5,5,8,8*,0,14,57.14,0,0,0,1
2021,117,Sachin Baby,1,1,0,7,7,7,17,41.17,0,0,0,0
2021,118,Shreyas Gopal,3,2,1,7,7*,7,5,140,0,0,0,1
2021,119,Daniel Sams,2,2,1,6,3*,6,6,100,0,0,0,0
2021,120,Fabian Allen,4,3,2,6,6,6,12,50,0,0,0,0
2021,121,Avesh Khan,16,1,1,5,5*,0,3,166.66,0,0,1,0
2021,122,Shardul Thakur,16,4,2,5,3*,2.5,5,100,0,0,0,0
2021,123,Harbhajan Singh,3,2,2,4,2*,0,4,100,0,0,0,0
2021,124,Nathan Coulter-Nile,5,2,0,4,3,2,5,80,0,0,0,0
2021,125,Tim Southee,3,1,0,3,3,3,5,60,0,0,0,0
2021,126,Tabraiz Shamsi,1,1,1,2,2*,0,4,50,0,0,0,0
2021,127,Tim Seifert,1,1,0,2,2,2,4,50,0,0,0,0
2021,128,Navdeep Saini,2,1,0,2,2,2,4,50,0,0,0,0
2021,129,Kartik Tyagi,4,2,1,2,1*,2,4,50,0,0,0,0
2021,130,George Garton,5,3,2,2,2*,2,4,50,0,0,0,0
2021,131,Arshdeep Singh,12,2,2,2,1*,0,3,66.66,0,0,0,0
2021,132,Varun Chakaravarthy,17,3,2,2,2*,2,4,50,0,0,0,0
2021,133,Mujeeb Ur Rahman,1,1,1,1,1*,0,1,100,0,0,0,0
2021,134,Tim David,1,1,0,1,1,1,3,33.33,0,0,0,0
2021,135,Wanindu Hasaranga,2,2,1,1,1*,1,2,50,0,0,0,0
2021,136,Khaleel Ahmed,7,1,0,1,1,1,2,50,0,0,0,0
2021,137,Ravi Bishnoi,9,1,0,1,1,1,4,25,0,0,0,0
2021,138,Trent Boult,14,4,4,1,1*,0,4,25,0,0,0,0
2021,139,Deepak Chahar,15,2,2,1,1*,0,1,100,0,0,0,0
2021,140,Ben Stokes,1,1,0,0,0*,0,3,0,0,0,0,0
2021,141,Kamlesh Nagarkoti,1,1,0,0,0*,0,2,0,0,0,0,0
2021,142,Kuldip Yadav,1,1,1,0,0*,0,4,0,0,0,0,0
2021,143,Piyush Chawla,1,1,0,0,0*,0,2,0,0,0,0,0
2021,144,Shahbaz Nadeem,1,1,0,0,0*,0,1,0,0,0,0,0
2021,145,Anuj Rawat,2,1,0,0,0*,0,1,0,0,0,0,0
2021,146,Marco Jansen,2,2,0,0,0*,0,3,0,0,0,0,0
2021,147,Sarfaraz Khan,2,2,0,0,0*,0,4,0,0,0,0,0
2021,148,Jimmy Neesham,3,2,0,0,0*,0,2,0,0,0,0,0
2021,149,Prasidh Krishna,10,2,1,0,0*,0,1,0,0,0,0,0
2022,1,Jos Buttler,17,17,2,863,116,57.53,579,149.05,4,4,83,45
2022,2,K L Rahul,15,15,3,616,103*,51.33,455,135.38,2,4,45,30
2022,3,Quinton De Kock,15,15,1,508,140*,36.29,341,148.97,1,3,47,23
2022,4,Hardik Pandya,15,15,4,487,87*,44.27,371,131.26,0,4,49,12
2022,5,Shubman Gill,16,16,2,483,96,34.5,365,132.32,0,4,51,11
2022,6,David Miller,16,16,9,481,94*,68.71,337,142.72,0,2,32,23
2022,7,Faf Du Plessis,16,16,1,468,96,31.2,367,127.52,0,3,49,13
2022,8,Shikhar Dhawan,14,14,2,460,88*,38.33,375,122.66,0,3,47,12
2022,9,Sanju Samson,17,17,1,458,55,28.63,312,146.79,0,2,43,26
2022,10,Deepak Hooda,15,14,0,451,59,32.21,330,136.66,0,4,36,18
2022,11,Liam Livingstone,14,14,2,437,70,36.42,240,182.08,0,4,29,34
2022,12,David Warner,12,12,3,432,92*,48,287,150.52,0,5,52,15
2022,13,Abhishek Sharma,14,14,0,426,75,30.43,320,133.12,0,2,47,13
2022,14,Ishan Kishan,14,14,1,418,81*,32.15,348,120.11,0,3,45,11
2022,15,Rahul Tripathi,14,14,3,413,76,37.55,261,158.23,0,3,40,20
2022,16,Shreyas Iyer,14,14,1,401,85,30.85,298,134.56,0,3,41,11
2022,17,Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,29,16
2022,18,Aiden Markram,14,12,4,381,68*,47.63,274,139.05,0,3,25,19
2022,19,Devdutt Padikkal,17,17,0,376,54,22.12,306,122.87,0,1,40,14
2022,20,Ruturaj Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14
2022,21,Nitish Rana,14,14,1,361,57,27.77,251,143.82,0,2,29,22
2022,22,Virat Kohli,16,16,1,341,73,22.73,294,115.98,0,2,32,8
2022,23,Rishabh Pant,14,13,2,340,44,30.91,224,151.78,0,0,35,16
2022,24,Andre Russell,14,12,3,335,70*,37.22,192,174.47,0,1,18,32
2022,25,Rajat Patidar,8,7,1,333,112*,55.5,218,152.75,1,2,27,18
2022,26,Dinesh Karthik,16,16,10,330,66*,55,180,183.33,0,1,27,22
2022,27,Wriddhiman Saha,11,11,1,317,68,31.7,259,122.39,0,3,40,7
2022,28,Shimron Hetmyer,15,15,8,314,59*,44.86,204,153.92,0,1,21,21
2022,29,Nicholas Pooran,14,13,5,306,64*,38.25,212,144.33,0,2,16,21
2022,30,Suryakumar Yadav,8,8,1,303,68*,43.29,208,145.67,0,3,23,16
2022,31,Glenn Maxwell,13,13,2,301,55,27.36,178,169.1,0,1,31,15
2022,32,Shivam Dube,11,11,1,289,95*,28.9,185,156.21,0,2,22,16
2022,33,Prithvi Shaw,10,10,0,283,61,28.3,185,152.97,0,2,37,10
2022,34,Ambati Rayudu,13,11,0,274,78,24.91,224,122.32,0,1,25,15
2022,35,Rohit Sharma,14,14,0,268,48,19.14,223,120.17,0,0,28,13
2022,36,Yashasvi Jaiswal,10,10,0,258,68,25.8,194,132.98,0,2,28,10
2022,37,Jonny Bairstow,11,11,0,253,66,23,175,144.57,0,2,34,9
2022,38,Devon Conway,7,7,1,252,87,42,173,145.66,0,3,22,12
2022,39,Mitchell Marsh,8,8,0,251,89,31.38,189,132.8,0,2,19,14
2022,40,Rovman Powell,14,12,2,250,67*,25,167,149.7,0,1,10,22
2022,41,Moeen Ali,10,10,0,244,93,24.4,177,137.85,0,1,24,11
2022,42,Jitesh Sharma,12,10,2,234,44,29.25,143,163.63,0,0,22,12
2022,43,MS Dhoni,14,13,6,232,50*,33.14,188,123.4,0,1,21,10
2022,44,Robin Uthappa,12,11,0,230,88,20.91,171,134.5,0,2,19,14
2022,45,Shahbaz Ahmed,16,11,3,219,45,27.38,181,120.99,0,0,14,9
2022,46,Rahul Tewatia,16,12,5,217,43*,31,147,147.61,0,0,22,9
2022,47,Kane Williamson,13,13,2,216,57,19.64,231,93.5,0,1,16,8
2022,48,Bhanuka Rajapaksa,9,9,0,206,43,22.89,129,159.68,0,0,16,13
2022,49,Mayank Agarwal,13,12,0,196,52,16.33,160,122.5,0,1,23,6
2022,50,Ravichandran Ashwin,17,12,5,191,50,27.29,135,141.48,0,1,14,9
2022,51,Tim David,8,8,3,186,46,37.2,86,216.27,0,0,12,16
2022,52,Riyan Parag,17,14,3,183,56*,16.64,132,138.63,0,1,11,10
2022,53,Krunal Pandya,14,13,4,183,42,20.33,145,126.2,0,0,16,4
2022,54,Axar Patel,13,10,6,182,42*,45.5,120,151.66,0,0,12,10
2022,55,Venkatesh Iyer,12,12,1,182,50*,16.55,169,107.69,0,1,17,7
2022,56,Rinku Singh,7,7,2,174,42*,34.8,117,148.71,0,0,17,7
2022,57,Sam Billings,8,8,1,169,36,24.14,138,122.46,0,0,9,10
2022,58,Dewald Brevis,7,7,0,161,49,23,113,142.47,0,0,14,11
2022,59,Ayush Badoni,13,11,3,161,54,20.13,130,123.84,0,1,11,7
2022,60,Lalit Yadav,12,8,1,161,48*,23,146,110.27,0,0,11,7
2022,61,Matthew Wade,10,10,0,157,35,15.7,138,113.76,0,0,23,2
2022,62,Marcus Stoinis,11,10,2,156,38*,19.5,106,147.16,0,0,7,13
2022,63,Sai Sudharsan,5,5,1,145,65*,36.25,114,127.19,0,1,14,3
2022,64,Kieron Pollard,11,11,1,144,25,14.4,134,107.46,0,0,6,9
2022,65,Ajinkya Rahane,7,7,0,133,44,19,128,103.9,0,0,14,4
2022,66,Anuj Rawat,8,8,0,129,66,16.13,118,109.32,0,1,10,7
2022,67,Shardul Thakur,14,10,2,120,29*,15,87,137.93,0,0,7,7
2022,68,Shahrukh Khan,8,8,1,117,26,16.71,108,108.33,0,0,4,9
2022,69,Ravindra Jadeja,10,10,4,116,26*,19.33,98,118.36,0,0,6,5
2022,70,Abhinav Manohar,8,7,1,108,43,18,75,144,0,0,14,3
2022,71,Washington Sundar,9,7,0,101,40,14.43,69,146.37,0,0,9,3
2022,72,Rashid Khan,16,8,4,91,40,22.75,44,206.81,0,0,3,9
2022,73,Sarfaraz Khan,6,5,2,91,36*,30.33,67,135.82,0,0,9,2
2022,74,Manish Pandey,6,6,0,88,38,14.67,80,110,0,0,9,2
2022,75,Mahipal Lomror,7,5,0,86,42,17.2,57,150.87,0,0,7,4
2022,76,Aaron Finch,5,5,0,86,58,17.2,61,140.98,0,1,10,3
2022,77,Rahul Chahar,13,8,2,77,25*,12.83,68,113.23,0,0,7,4
2022,78,Evin Lewis,6,5,2,73,55*,24.33,56,130.35,0,1,8,3
2022,79,Sunil Narine,14,10,2,71,22,8.88,40,177.5,0,0,6,6
2022,80,Shashank Singh,10,5,1,69,25*,17.25,47,146.8,0,0,5,4
2022,81,Suyash S Prabhudessai,5,5,0,67,34,13.4,59,113.55,0,0,7,2
2022,82,Pat Cummins,5,5,1,63,56*,15.75,24,262.5,0,1,5,6
2022,83,Jaydev Unadkat,5,5,2,59,19*,19.67,37,159.45,0,0,4,3
2022,84,Romario Shepherd,3,3,1,58,26*,29,41,141.46,0,0,2,5
2022,85,Jason Holder,12,8,2,58,16,9.67,44,131.81,0,0,2,6
2022,86,Umesh Yadav,12,7,3,55,21,13.75,40,137.5,0,0,4,4
2022,87,Odean Smith,6,6,3,51,25*,17,44,115.9,0,0,1,5
2022,88,Kagiso Rabada,13,8,3,48,25,9.6,43,111.62,0,0,5,2
2022,89,Kuldeep Yadav,14,7,6,48,16*,48,52,92.3,0,0,3,2
2022,90,Priyam Garg,2,2,0,46,42,23,33,139.39,0,0,4,2
2022,91,Ramandeep Singh,5,4,2,45,14*,22.5,40,112.5,0,0,3,1
2022,92,Dwaine Pretorius,6,5,1,44,22,11,28,157.14,0,0,3,3
2022,93,Dushmantha Chameera,12,8,4,43,17,10.75,28,153.57,0,0,3,3
2022,94,Harshal Patel,15,8,3,43,11,8.6,39,110.25,0,0,4,2
2022,95,Hrithik Shokeen,5,3,1,43,25,21.5,48,89.58,0,0,5,0
2022,96,Trent Boult,16,8,6,40,17*,20,29,137.93,0,0,2,1
2022,97,Jagadeesan Narayan,2,2,1,40,39*,40,37,108.1,0,0,3,1
2022,98,Daniel Sams,11,10,3,38,15,5.43,36,105.55,0,0,1,3
2022,99,Wanindu Hasaranga,16,7,0,38,18,5.43,43,88.37,0,0,4,1
2022,100,Rishi Dhawan,6,4,2,37,21*,18.5,40,92.5,0,0,4,2
2022,101,Daryl Mitchell,2,2,0,33,17,16.5,44,75,0,0,1,0
2022,102,Sherfane Rutherford,3,2,0,33,28,16.5,50,66,0,0,1,1
2022,103,James Neesham,2,2,0,31,17,15.5,27,114.81,0,0,3,0
2022,104,Mohammed Siraj,15,5,3,30,14*,15,33,90.9,0,0,5,0
2022,105,Tim Seifert,2,2,0,24,21,12,19,126.31,0,0,4,0
2022,106,Bhuvneshwar Kumar,14,6,3,24,8,8,26,92.3,0,0,3,0
2022,107,Mohsin Khan,9,3,2,23,13*,23,16,143.75,0,0,2,1
2022,108,Dwayne Bravo,10,6,4,23,12,11.5,24,95.83,0,0,1,1
2022,109,Sheldon Jackson,5,5,1,23,8,5.75,26,88.46,0,0,0,1
2022,110,Avesh Khan,13,4,3,22,12,22,13,169.23,0,0,0,3
2022,111,Rassie van der Dussen,3,3,1,22,12*,11,24,91.66,0,0,2,0
2022,112,Harpreet Brar,5,3,0,22,14,7.33,25,88,0,0,1,2
2022,113,Mitchell Santner,6,4,2,22,11,11,27,81.48,0,0,3,0
2022,114,Arshdeep Singh,14,6,3,21,10*,7,29,72.41,0,0,3,0
2022,115,B Indrajith,3,3,0,21,15,7,30,70,0,0,2,0
2022,116,Manan Vohra,2,1,0,19,19,19,11,172.72,0,0,1,2
2022,117,Vijay Shankar,4,4,0,19,13,4.75,35,54.28,0,0,1,0
2022,118,Mandeep Singh,3,3,0,18,18,6,23,78.26,0,0,4,0
2022,119,Josh Hazlewood,12,5,5,18,7*,-,26,69.23,0,0,1,0
2022,120,David Willey,4,2,0,18,18,9,30,60,0,0,3,0
2022,121,Karun Nair,3,2,0,16,13,8,18,88.88,0,0,1,0
2022,122,Simran Singh,1,1,0,14,14,14,11,127.27,0,0,2,0
2022,123,Anmolpreet Singh,2,2,0,13,8,6.5,13,100,0,0,1,0
2022,124,Murugan Ashwin,8,5,2,12,6,4,14,85.71,0,0,1,1
2022,125,Varun Chakaravarthy,11,4,4,12,10*,-,18,66.66,0,0,2,0
2022,126,Chris Jordan,4,2,1,11,6*,11,8,137.5,0,0,0,0
2022,127,Rajangad Bawa,2,2,0,11,11,5.5,14,78.57,0,0,1,0
2022,128,Shreyas Gopal,1,1,1,9,9*,-,7,128.57,0,0,2,0
2022,129,Marco Jansen,8,3,2,9,8*,9,7,128.57,0,0,0,1
2022,130,Obed McCoy,7,1,0,8,8,8,5,160,0,0,0,1
2022,131,Srikar Bharat,2,2,0,8,8,4,7,114.28,0,0,2,0
2022,132,Fabian Allen,1,1,0,8,8,8,7,114.28,0,0,1,0
2022,133,Sean Abbott,1,1,0,7,7,7,5,140,0,0,0,1
2022,134,Rasikh Salam,2,1,0,7,7,7,6,116.66,0,0,1,0
2022,135,Kartik Tyagi,2,2,0,7,7,3.5,6,116.66,0,0,1,0
2022,136,Maheesh Theekshana,9,2,1,7,7*,7,7,100,0,0,0,1
2022,137,Simarjeet Singh,6,3,2,7,3*,7,8,87.5,0,0,0,0
2022,138,Ripal Patel,2,1,0,6,6,6,3,200,0,0,0,1
2022,139,Mukesh Choudhary,13,2,1,6,4,6,6,100,0,0,1,0
2022,140,Prasidh Krishna,17,3,2,6,4*,6,12,50,0,0,0,0
2022,141,Aman Khan,1,1,0,5,5,5,3,166.66,0,0,1,0
2022,142,Lockie Ferguson,13,3,1,5,5,2.5,4,125,0,0,1,0
2022,143,Alzarri Joseph,9,3,2,5,4*,5,7,71.42,0,0,0,0
2022,144,Yuzvendra Chahal,17,2,1,5,5,5,8,62.5,0,0,0,0
2022,145,Vaibhav Arora,5,4,2,5,2*,2.5,13,38.46,0,0,0,0
2022,146,Prerak Mankad,1,1,1,4,4*,-,1,400,0,0,1,0
2022,147,Karan Sharma,1,1,0,4,4,4,4,100,0,0,1,0
2022,148,Abdul Samad,2,2,0,4,4,2,7,57.14,0,0,0,0
2022,149,Abhijeet Tomar,1,1,0,4,4,4,8,50,0,0,1,0
2022,150,Umran Malik,14,4,3,4,3*,4,8,50,0,0,0,0
2022,151,Mustafizur Rahman,8,1,1,3,3*,-,5,60,0,0,0,0
2022,152,Kumar Kartikeya Singh,4,1,0,3,3,3,5,60,0,0,0,0
2022,153,Shivam Mavi,6,3,1,3,2,1.5,7,42.85,0,0,0,0
2022,154,Harshit Rana,2,2,1,2,2,2,2,100,0,0,0,0
2022,155,Navdeep Saini,2,1,0,2,2,2,2,100,0,0,0,0
2022,156,Tristan Stubbs,2,2,0,2,2,1,4,50,0,0,0,0
2022,157,Pradeep Sangwan,3,1,0,2,2,2,5,40,0,0,0,0
2022,158,Fazalhaq Farooqi,3,1,1,2,2*,-,8,25,0,0,0,0
2022,159,Jagadeesha Suchith,5,2,0,2,2,1,8,25,0,0,0,0
2022,160,Tim Southee,9,5,1,2,1*,0.5,12,16.66,0,0,0,0
2022,161,Nathan Coulter-Nile,1,1,1,1,1*,-,2,50,0,0,0,0
2022,162,Anrich Nortje,6,1,1,1,1*,-,6,16.66,0,0,0,0
